"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 26","0.5095","0.4431","0.5821","0.4407","7.16B","14.96%"
"2023- 03- 19","0.4432","0.3740","0.4927","0.3715","7.71B","18.52%"
"2023- 03- 12","0.3740","0.3638","0.3891","0.3480","4.21B","2.78%"
"2023- 03- 05","0.3638","0.3735","0.4004","0.3578","5.10B","-2.59%"
"2023- 02- 26","0.3735","0.3779","0.3844","0.3555","3.52B","-1.15%"
"2023- 02- 19","0.3779","0.3943","0.4083","0.3709","3.72B","-4.16%"
"2023- 02- 12","0.3943","0.3835","0.4044","0.3629","3.26B","2.81%"
"2023- 02- 05","0.3835","0.4109","0.4117","0.3741","3.05B","-6.68%"
"2023- 01- 29","0.4109","0.4079","0.4215","0.3884","2.96B","0.75%"
"2023- 01- 22","0.4079","0.4034","0.4321","0.3967","3.39B","1.15%"
"2023- 01- 15","0.4032","0.3953","0.4161","0.3694","4.03B","2.02%"
"2023- 01- 08","0.3953","0.3441","0.4086","0.3381","4.27B","14.86%"
"2023- 01- 01","0.3441","0.3388","0.3545","0.3152","3.22B","1.59%"
"2022- 12- 25","0.3387","0.3520","0.3726","0.3338","2.82B","-3.77%"
"2022- 12- 18","0.3520","0.3546","0.3552","0.3329","2.47B","-0.73%"
"2022- 12- 11","0.3546","0.3866","0.3967","0.3462","2.96B","-8.27%"
"2022- 12- 04","0.3866","0.3873","0.3958","0.3752","2.47B","-0.14%"
"2022- 11- 27","0.3871","0.3962","0.4112","0.3741","2.71B","-2.27%"
"2022- 11- 20","0.3961","0.3840","0.4188","0.3467","3.88B","3.15%"
"2022- 11- 13","0.3840","0.3634","0.3966","0.3219","3.01B","5.67%"
"2022- 11- 06","0.3634","0.4930","0.4944","0.3203","5.52B","-26.29%"
"2022- 10- 30","0.4930","0.4702","0.5096","0.4454","3.43B","4.87%"
"2022- 10- 23","0.4701","0.4653","0.4836","0.4437","2.97B","1.01%"
"2022- 10- 16","0.4654","0.4818","0.4873","0.4296","3.23B","-3.40%"
"2022- 10- 09","0.4818","0.5172","0.5468","0.4421","4.34B","-6.83%"
"2022- 10- 02","0.5172","0.4753","0.5287","0.4382","4.62B","8.78%"
"2022- 09- 25","0.4754","0.4878","0.5196","0.4176","6.91B","-2.54%"
"2022- 09- 18","0.4878","0.3759","0.5570","0.3403","12.96B","29.78%"
"2022- 09- 11","0.3759","0.3573","0.3799","0.3219","3.90B","5.20%"
"2022- 09- 04","0.3573","0.3298","0.3617","0.3137","3.21B","8.40%"
"2022- 08- 28","0.3296","0.3346","0.3372","0.3187","2.66B","-1.49%"
"2022- 08- 21","0.3346","0.3368","0.3700","0.3291","3.55B","-0.64%"
"2022- 08- 14","0.3368","0.3780","0.3921","0.3315","3.60B","-10.90%"
"2022- 08- 07","0.3780","0.3714","0.3871","0.3586","2.46B","1.78%"
"2022- 07- 31","0.3714","0.3877","0.3986","0.3632","2.37B","-4.20%"
"2022- 07- 24","0.3877","0.3593","0.4091","0.3256","2.92B","7.89%"
"2022- 07- 17","0.3593","0.3504","0.3814","0.3425","2.95B","2.51%"
"2022- 07- 10","0.3505","0.3448","0.3559","0.3034","3.05B","1.66%"
"2022- 07- 03","0.3448","0.3155","0.3584","0.3092","3.03B","9.28%"
"2022- 06- 26","0.3155","0.3675","0.3748","0.3061","3.21B","-14.16%"
"2022- 06- 19","0.3675","0.3075","0.3863","0.2984","3.84B","19.52%"
"2022- 06- 12","0.3075","0.3597","0.3651","0.2876","6.10B","-14.48%"
"2022- 06- 05","0.3596","0.3924","0.4171","0.3563","3.35B","-8.37%"
"2022- 05- 29","0.3924","0.3863","0.4334","0.3794","3.63B","1.57%"
"2022- 05- 22","0.3864","0.4145","0.4285","0.3766","4.14B","-6.79%"
"2022- 05- 15","0.4145","0.4261","0.4495","0.3920","4.32B","-2.72%"
"2022- 05- 08","0.4261","0.5807","0.5829","0.3366","10.76B","-26.63%"
"2022- 05- 01","0.5807","0.5852","0.6567","0.5697","4.10B","-0.77%"
"2022- 04- 24","0.5852","0.7055","0.7117","0.5713","3.63B","-17.04%"
"2022- 04- 17","0.7055","0.7810","0.7858","0.7031","3.50B","-9.68%"
"2022- 04- 10","0.7810","0.7622","0.7988","0.6841","3.95B","2.47%"
"2022- 04- 03","0.7622","0.8239","0.8498","0.7470","2.80B","-7.46%"
"2022- 03- 27","0.8237","0.8329","0.9113","0.7982","3.60B","-1.10%"
"2022- 03- 20","0.8329","0.8196","0.8649","0.7888","3.21B","1.61%"
"2022- 03- 13","0.8197","0.7859","0.8265","0.7422","3.13B","4.31%"
"2022- 03- 06","0.7858","0.7539","0.8488","0.7041","4.91B","4.24%"
"2022- 02- 27","0.7539","0.7504","0.8032","0.6976","5.00B","0.46%"
"2022- 02- 20","0.7504","0.8217","0.8227","0.6225","8.04B","-8.66%"
"2022- 02- 13","0.8216","0.8220","0.8589","0.7549","4.75B","-0.01%"
"2022- 02- 06","0.8217","0.6662","0.9126","0.6605","7.38B","23.35%"
"2022- 01- 30","0.6662","0.6175","0.6861","0.5810","2.98B","7.90%"
"2022- 01- 23","0.6174","0.5968","0.6575","0.5550","4.70B","3.46%"
"2022- 01- 16","0.5967","0.7792","0.7842","0.5520","4.06B","-23.43%"
"2022- 01- 09","0.7793","0.7448","0.8068","0.7006","3.16B","4.65%"
"2022- 01- 02","0.7447","0.8500","0.8638","0.7155","3.60B","-12.39%"
"2021- 12- 26","0.8500","0.9252","0.9550","0.8029","3.36B","-8.13%"
"2021- 12- 19","0.9252","0.8264","1.0161","0.8197","6.03B","11.96%"
"2021- 12- 12","0.8264","0.8377","0.8563","0.7612","4.08B","-1.29%"
"2021- 12- 05","0.8372","0.8453","0.9330","0.7504","6.58B","-1.15%"
"2021- 11- 28","0.8470","0.9453","1.0297","0.6207","3.99B","-10.42%"
"2021- 11- 21","0.9455","1.0961","1.0972","0.9230","5.35B","-13.75%"
"2021- 11- 14","1.0961","1.1894","1.2193","1.0184","5.55B","-7.84%"
"2021- 11- 07","1.1894","1.1514","1.3463","1.1359","4.98B","3.32%"
"2021- 10- 31","1.1512","1.0841","1.2551","1.0700","4.64B","6.19%"
"2021- 10- 24","1.0841","1.0935","1.1593","0.9547","4.39B","-0.87%"
"2021- 10- 17","1.0935","1.1340","1.1634","1.0248","3.40B","-3.57%"
"2021- 10- 10","1.1340","1.1604","1.2216","1.0659","4.85B","-2.19%"
"2021- 10- 03","1.1594","1.0362","1.2081","1.0067","3.89B","11.89%"
"2021- 09- 26","1.0362","0.9401","1.0699","0.8866","4.40B","10.22%"
"2021- 09- 19","0.9401","1.0756","1.0835","0.8590","5.76B","-12.59%"
"2021- 09- 12","1.0756","1.0788","1.1297","1.0267","3.38B","-0.30%"
"2021- 09- 05","1.0788","1.2549","1.4152","0.9617","8.13B","-14.03%"
"2021- 08- 29","1.2548","1.1449","1.3223","1.0915","4.98B","9.60%"
"2021- 08- 22","1.1449","1.2165","1.3029","1.0521","5.58B","-5.89%"
"2021- 08- 15","1.2166","1.2802","1.3481","1.0522","8.18B","-4.96%"
"2021- 08- 08","1.2802","0.8167","1.3089","0.7606","7.33B","56.75%"
"2021- 08- 01","0.8167","0.7444","0.8181","0.6973","3.54B","9.72%"
"2021- 07- 25","0.7443","0.6050","0.7691","0.5911","6.06B","22.70%"
"2021- 07- 18","0.6067","0.5817","0.6138","0.5176","3.60B","4.30%"
"2021- 07- 11","0.5816","0.6247","0.6570","0.5679","2.98B","-6.95%"
"2021- 07- 04","0.6251","0.6764","0.7088","0.5934","3.55B","-7.59%"
"2021- 06- 27","0.6764","0.6167","0.7285","0.5973","4.90B","9.70%"
"2021- 06- 20","0.6166","0.7596","0.7841","0.5102","9.64B","-18.84%"
"2021- 06- 13","0.7598","0.8316","0.9269","0.7559","4.03B","-8.60%"
"2021- 06- 06","0.8312","0.9227","0.9738","0.7858","6.02B","-9.92%"
"2021- 05- 30","0.9227","0.8304","1.0973","0.7988","8.92B","11.12%"
"2021- 05- 23","0.8304","0.9050","1.0664","0.6507","14.51B","-8.24%"
"2021- 05- 16","0.9050","1.4859","1.6998","0.8201","20.80B","-39.09%"
"2021- 05- 09","1.4859","1.5623","1.6261","1.2054","10.37B","-4.89%"
"2021- 05- 02","1.5624","1.6507","1.7600","1.3549","11.36B","-5.35%"
"2021- 04- 25","1.6507","1.0501","1.6646","0.9509","14.78B","57.19%"
"2021- 04- 18","1.0501","1.5396","1.5627","0.8937","21.43B","-31.84%"
"2021- 04- 11","1.5406","1.3743","1.9633","1.3084","20.15B","12.10%"
"2021- 04- 04","1.3743","0.5789","1.3953","0.5688","21.78B","137.42%"
"2021- 03- 28","0.5789","0.5479","0.6414","0.5309","7.23B","5.65%"
"2021- 03- 21","0.5479","0.5246","0.5995","0.4539","11.54B","4.47%"
"2021- 03- 14","0.5245","0.4577","0.5497","0.4235","6.50B","14.59%"
"2021- 03- 07","0.4577","0.4630","0.4880","0.4251","5.71B","-1.14%"
"2021- 02- 28","0.4630","0.4358","0.4938","0.3934","7.80B","6.25%"
"2021- 02- 21","0.4357","0.5120","0.6462","0.3672","16.31B","-14.89%"
"2021- 02- 14","0.5120","0.6335","0.6379","0.4752","11.18B","-19.12%"
"2021- 02- 07","0.6330","0.4427","0.6421","0.3979","15.68B","42.98%"
"2021- 01- 31","0.4427","0.4433","0.7536","0.3413","34.45B","-0.07%"
"2021- 01- 24","0.4430","0.2716","0.5088","0.2444","9.93B","63.09%"
"2021- 01- 17","0.2717","0.2792","0.3279","0.2416","9.69B","-2.81%"
"2021- 01- 10","0.2795","0.3243","0.3666","0.2558","15.00B","-13.82%"
"2021- 01- 03","0.3243","0.2209","0.3688","0.2154","26.32B","46.77%"
"2020- 12- 27","0.2210","0.2946","0.3099","0.1743","26.67B","-24.99%"
"2020- 12- 20","0.2946","0.5766","0.5864","0.2152","32.11B","-48.90%"
"2020- 12- 13","0.5766","0.5059","0.6586","0.4399","13.12B","13.97%"
"2020- 12- 06","0.5059","0.5855","0.6272","0.4858","9.95B","-13.57%"
"2020- 11- 29","0.5853","0.6258","0.6795","0.5440","10.85B","-6.49%"
"2020- 11- 22","0.6260","0.4629","0.7788","0.4108","25.23B","35.07%"
"2020- 11- 15","0.4634","0.2681","0.4680","0.2641","8.95B","72.87%"
"2020- 11- 08","0.2681","0.2490","0.2771","0.2456","6.44B","7.67%"
"2020- 11- 01","0.2490","0.2397","0.2673","0.2280","7.11B","3.86%"
"2020- 10- 25","0.2397","0.2561","0.2590","0.2314","6.60B","-6.40%"
"2020- 10- 18","0.2561","0.2406","0.2635","0.2401","6.97B","6.45%"
"2020- 10- 11","0.2406","0.2539","0.2600","0.2377","8.31B","-5.25%"
"2020- 10- 04","0.2539","0.2326","0.2601","0.2315","8.54B","9.10%"
"2020- 09- 27","0.2327","0.2415","0.2484","0.2285","8.50B","-3.66%"
"2020- 09- 20","0.2416","0.2508","0.2513","0.2195","6.11B","-3.80%"
"2020- 09- 13","0.2511","0.2474","0.2582","0.2343","7.51B","1.47%"
"2020- 09- 06","0.2475","0.2374","0.2487","0.2298","10.98B","4.26%"
"2020- 08- 30","0.2374","0.2738","0.3037","0.2315","12.14B","-13.32%"
"2020- 08- 23","0.2738","0.2861","0.2919","0.2549","8.23B","-4.29%"
