"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 05","27,711,000","29,820,000","30,096,000","26,656,000","6.90K","-7.07%"
"2023- 02- 26","29,818,000","30,943,000","31,628,000","29,492,000","2.67K","-3.64%"
"2023- 02- 19","30,943,000","31,764,000","32,514,000","30,321,000","4.91K","-2.58%"
"2023- 02- 12","31,764,000","28,356,000","32,420,000","27,904,000","8.60K","12.03%"
"2023- 02- 05","28,353,000","29,412,000","29,561,000","27,880,000","6.70K","-3.59%"
"2023- 01- 29","29,410,000","29,061,000","30,210,000","28,347,000","7.46K","1.20%"
"2023- 01- 22","29,062,000","28,336,000","29,508,000","27,945,000","9.04K","2.56%"
"2023- 01- 15","28,336,000","25,913,000","29,034,000","25,450,000","10.65K","9.35%"
"2023- 01- 08","25,913,000","21,561,000","26,194,000","21,514,000","9.84K","20.18%"
"2023- 01- 01","21,561,000","21,075,000","21,727,000","21,022,000","5.17K","2.29%"
"2022- 12- 25","21,078,000","21,945,000","21,961,000","20,748,000","4.88K","-3.94%"
"2022- 12- 18","21,942,000","22,247,000","22,300,000","21,526,000","5.10K","-1.38%"
"2022- 12- 11","22,248,000","22,826,000","23,908,000","21,976,000","7.77K","-2.54%"
"2022- 12- 04","22,828,000","22,827,000","23,149,000","22,385,000","5.76K","0.00%"
"2022- 11- 27","22,827,000","22,664,000","23,315,000","22,150,000","8.15K","0.72%"
"2022- 11- 20","22,664,000","23,051,000","23,196,000","21,896,000","5.70K","-1.68%"
"2022- 11- 13","23,051,000","23,355,000","23,486,000","21,533,000","4.39K","-1.30%"
"2022- 11- 06","23,355,000","29,775,000","29,872,000","22,500,000","14.31K","-21.54%"
"2022- 10- 30","29,768,000","29,123,000","29,922,000","28,475,000","4.45K","2.24%"
"2022- 10- 23","29,116,000","27,613,000","29,472,000","27,482,000","5.30K","5.45%"
"2022- 10- 16","27,612,000","27,548,000","28,170,000","27,119,000","3.00K","0.23%"
"2022- 10- 09","27,548,000","27,753,000","28,546,000","26,400,000","3.88K","-0.74%"
"2022- 10- 02","27,753,000","27,890,000","29,092,000","27,500,000","4.74K","-0.49%"
"2022- 09- 25","27,890,000","27,253,000","29,098,000","26,810,000","7.20K","2.34%"
"2022- 09- 18","27,253,000","28,170,000","28,185,000","26,155,000","7.35K","-3.27%"
"2022- 09- 11","28,175,000","29,768,000","31,283,000","27,410,000","5.70K","-5.35%"
"2022- 09- 04","29,768,000","27,410,000","29,897,000","26,160,000","5.24K","8.60%"
"2022- 08- 28","27,410,000","27,738,000","28,135,000","27,050,000","3.89K","-1.19%"
"2022- 08- 21","27,741,000","29,350,000","29,668,000","27,464,000","4.68K","-5.48%"
"2022- 08- 14","29,350,000","32,589,000","33,456,000","28,549,000","5.91K","-9.94%"
"2022- 08- 07","32,589,000","30,490,000","32,955,000","30,450,000","11.41K","6.88%"
"2022- 07- 31","30,490,000","31,272,000","31,790,000","30,135,000","10.54K","-2.47%"
"2022- 07- 24","31,263,000","29,716,000","32,485,000","27,692,000","13.95K","5.16%"
"2022- 07- 17","29,729,000","27,865,000","31,798,000","27,425,000","16.21K","6.69%"
"2022- 07- 10","27,865,000","28,207,000","28,397,000","25,207,000","16.65K","-1.21%"
"2022- 07- 03","28,207,000","25,433,000","29,003,000","24,973,000","14.96K","10.91%"
"2022- 06- 26","25,432,000","27,849,000","28,325,000","24,641,000","7.35K","-8.68%"
"2022- 06- 19","27,849,000","25,027,000","27,976,000","23,764,000","11.57K","11.26%"
"2022- 06- 12","25,030,000","37,062,000","37,164,000","23,796,000","14.16K","-32.46%"
"2022- 06- 05","37,062,000","37,906,000","39,942,000","36,626,000","5.37K","-2.23%"
"2022- 05- 29","37,906,000","36,981,000","40,593,000","36,794,000","7.13K","2.50%"
"2022- 05- 22","36,981,000","38,001,000","39,175,000","36,300,000","10.95K","-2.69%"
"2022- 05- 15","38,002,000","39,899,000","40,950,000","36,825,000","9.97K","-4.75%"
"2022- 05- 08","39,899,000","46,449,000","46,475,000","36,500,000","13.63K","-14.15%"
"2022- 05- 01","46,474,000","49,239,000","50,984,000","46,001,000","9.62K","-5.62%"
"2022- 04- 24","49,239,000","49,723,000","51,169,000","48,202,000","9.70K","-0.93%"
"2022- 04- 17","49,699,000","50,443,000","53,050,000","48,523,000","6.06K","-1.47%"
"2022- 04- 10","50,443,000","53,281,000","53,849,000","49,385,000","6.11K","-5.33%"
"2022- 04- 03","53,281,000","56,052,000","57,520,000","52,670,000","6.30K","-4.94%"
"2022- 03- 27","56,051,000","54,002,000","57,713,000","53,718,000","10.07K","3.79%"
"2022- 03- 20","54,002,000","51,242,000","54,328,000","49,783,000","7.41K","5.44%"
"2022- 03- 13","51,218,000","48,471,000","51,296,000","47,113,000","7.48K","5.63%"
"2022- 03- 06","48,489,000","48,620,000","52,231,000","46,478,000","6.40K","-0.27%"
"2022- 02- 27","48,620,000","47,766,000","54,697,000","45,645,000","10.01K","1.76%"
"2022- 02- 20","47,779,000","49,046,000","49,074,000","42,524,000","9.91K","-2.64%"
"2022- 02- 13","49,074,000","51,597,000","53,905,000","48,226,000","8.03K","-4.89%"
"2022- 02- 06","51,595,000","50,734,000","55,280,000","50,367,000","9.96K","1.70%"
"2022- 01- 30","50,734,000","47,200,000","51,383,000","44,726,000","8.79K","7.49%"
"2022- 01- 23","47,200,000","43,452,000","47,672,000","40,813,000","9.03K","8.63%"
"2022- 01- 16","43,452,000","52,303,000","52,530,000","42,666,000","9.24K","-16.92%"
"2022- 01- 09","52,302,000","52,141,000","53,877,000","48,868,000","5.64K","0.31%"
"2022- 01- 02","52,141,000","57,988,000","58,198,000","50,739,000","3.64K","-10.08%"
"2021- 12- 26","57,989,000","61,117,000","62,495,000","56,001,000","7.15K","-5.16%"
"2021- 12- 19","61,141,000","58,310,000","62,829,000","56,837,000","4.11K","4.86%"
"2021- 12- 12","58,310,000","61,412,000","62,841,000","57,102,000","5.07K","-5.05%"
"2021- 12- 05","61,410,000","62,012,000","63,999,000","58,955,000","4.88K","-1.10%"
"2021- 11- 28","62,092,000","70,140,000","73,148,000","57,000,000","5.60K","-11.48%"
"2021- 11- 21","70,141,000","73,781,000","74,176,000","67,986,000","8.69K","-4.91%"
"2021- 11- 14","73,764,000","77,860,000","80,111,000","69,032,000","8.05K","-5.26%"
"2021- 11- 07","77,860,000","74,559,000","82,475,000","74,473,000","9.11K","4.41%"
"2021- 10- 31","74,569,000","73,681,000","75,500,000","71,030,000","7.98K","1.22%"
"2021- 10- 24","73,668,000","74,874,000","76,964,000","70,420,000","10.68K","-1.61%"
